,BPC9,BPC10,BPC11,BPC12,BPC13,BPC14,BPC15,BPC16,BPCdem1,BPCdem2,indpt_EO,xdemWhite,demBlackBin,xdemHispBin,demRaceOther,age_18-34,age_35-44,age_45-64,age_65+,xeduc3_nocollege,xeduc3_bach,xeduc3_postgrad,xpid3_D,xpid3_I,xpid3_R,xsubVote20O_Biden,xsubVote20O_Trump,xsubVote20O_Other,xsubVote20O_NoVote,xdemGender_M,xdemGender_F
112,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
113,5,5,5,5,5,5,5,5,,,0,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
114,3,3,5,5,5,5,2,1,,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
115,1,1,1,1,1,1,1,1,0.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
116,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
117,1,1,1,1,1,1,1,1,,1.0,1,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
118,2,2,2,2,2,2,2,2,0.0,,0,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
119,1,1,1,2,3,2,1,2,,1.0,0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
120,5,5,3,4,3,3,3,4,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
121,2,2,2,3,2,2,2,2,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
122,5,5,5,5,5,5,5,5,,0.0,0,1.0,0.0,1.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
123,5,5,5,4,5,5,4,5,0.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
124,1,2,2,2,1,1,1,1,,1.0,0,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
125,1,1,1,1,2,1,1,1,,1.0,1,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
126,1,1,1,1,1,1,1,1,,1.0,1,0.0,1.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
127,2,2,2,2,2,2,2,2,0.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
128,2,3,3,3,3,3,3,3,1.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
129,1,2,2,2,2,1,2,2,0.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
130,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
131,3,4,4,4,4,3,4,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
132,5,1,1,1,5,5,5,5,,0.0,0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
133,1,1,1,1,1,1,1,1,0.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
134,1,1,1,1,1,1,1,1,,0.0,1,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
135,4,4,4,4,4,4,4,4,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
136,1,2,2,1,2,2,2,2,,1.0,0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
137,1,1,1,1,1,1,1,1,,1.0,1,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
138,1,1,1,1,1,1,1,1,1.0,,0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
139,2,2,2,2,2,2,2,3,,0.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
140,3,2,3,3,3,3,3,3,1.0,,1,1.0,0.0,1.0,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
141,1,1,1,1,1,1,1,1,1.0,,1,0.0,0.0,1.0,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
142,1,1,1,1,1,1,1,1,,,1,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
143,2,2,3,4,3,3,3,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
144,1,2,1,2,1,2,1,2,,0.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
145,1,1,1,2,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
146,1,1,1,1,1,1,1,2,,0.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
147,1,1,1,1,2,2,2,2,,1.0,0,1.0,0.0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
148,2,2,1,3,2,2,1,3,1.0,,0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
149,2,2,2,2,1,1,1,2,0.0,,1,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
150,2,2,2,4,2,2,2,2,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
151,3,3,3,4,5,3,2,2,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
152,2,2,2,2,2,2,2,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
153,1,2,1,1,1,1,1,1,0.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
154,3,3,3,3,2,2,2,2,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
155,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
156,1,1,1,1,1,1,1,1,0.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
157,1,1,1,1,1,1,1,1,,1.0,0,0.0,0.0,1.0,1.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
158,3,5,5,4,2,2,3,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
